image_path,label,clip_id,person_id
custom_dataset/processed_edu/EDU_NE/phone_13/frame_0003.jpg,0,EDU_NE_phone_13,EDUACTION_NE
custom_dataset/processed/VID_23/001/frame_0025.jpg,0,VID_23_001_C06,VID_23_001
custom_dataset/processed/VID_9/012/frame_0034.jpg,1,VID_9_012_C06,VID_9_012
custom_dataset/processed/VID_23/007/frame_0010.jpg,1,VID_23_007_C00,VID_23_007
custom_dataset/processed/VID_26/002/frame_0026.jpg,0,VID_26_002_C06,VID_26_002
custom_dataset/processed/VID_16/002/frame_0001.jpg,1,VID_16_002_C00,VID_16_002
custom_dataset/processed/VID_11/007/frame_0003.jpg,0,VID_11_007_C00,VID_11_007
custom_dataset/processed/VID_1/007/frame_0012.jpg,1,VID_1_007_C03,VID_1_007
custom_dataset/processed/VID_22/001/frame_0022.jpg,1,VID_22_001_C05,VID_22_001
custom_dataset/processed/VID_11/004/frame_0022.jpg,1,VID_11_004_C05,VID_11_004
custom_dataset/processed/VID_28/002/frame_0013.jpg,1,VID_28_002_C03,VID_28_002
custom_dataset/processed/VID_23/003/frame_0007.jpg,0,VID_23_003_C01,VID_23_003
custom_dataset/processed/VID_7/004/frame_0014.jpg,1,VID_7_004_C03,VID_7_004
custom_dataset/processed_edu/EDU_NE/sleep_2/frame_0002.jpg,0,EDU_NE_sleep_2,EDUACTION_NE
custom_dataset/processed/VID_1/004/frame_0016.jpg,0,VID_1_004_C03,VID_1_004
custom_dataset/processed/VID_21/004/frame_0022.jpg,0,VID_21_004_C04,VID_21_004
custom_dataset/processed/VID_25/005/frame_0033.jpg,1,VID_25_005_C01,VID_25_005
custom_dataset/processed/VID_7/008/frame_0008.jpg,1,VID_7_008_C01,VID_7_008
custom_dataset/processed/VID_16/003/frame_0032.jpg,0,VID_16_003_C06,VID_16_003
custom_dataset/processed/VID_28/002/frame_0015.jpg,1,VID_28_002_C03,VID_28_002
custom_dataset/processed/VID_21/004/frame_0029.jpg,0,VID_21_004_C06,VID_21_004
custom_dataset/processed/VID_11/008/frame_0022.jpg,1,VID_11_008_C05,VID_11_008
custom_dataset/processed/VID_28/005/frame_0004.jpg,1,VID_28_005_C00,VID_28_005
