video_path,label,source
/content/drive/MyDrive/custom_dataset/eduaction_e/work_1.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/work_3.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/work_2.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_1.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_4.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_3.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_10.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_2.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_9.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_6.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_7.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_5.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_11.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/lecture_8.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_7.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_4.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_6.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_1.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_2.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_3.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_8.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_e/writing_5.mp4,1,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_17.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/sleep_5.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_2.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_11.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_7.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_9.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_4.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_15.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_5.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_12.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_1.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_3.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_8.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_10.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_16.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_14.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_6.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/phone_13.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_3.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/sleep_4.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_13.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_5.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_14.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_15.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_12.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/sleep_3.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_8.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_9.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/sleep_2.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_16.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_7.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/sleep_1.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_1.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_4.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_11.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_10.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_6.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_2.mp4,0,eduaction
/content/drive/MyDrive/custom_dataset/eduaction_ne/talk_17.mp4,0,eduaction
