video_id,a,b,label,n_clips,state_cos,state_close,traj_cos,dyn_corr,turn_taking,joint_active
Vid-20260421-Wa0023,1,2,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,1,3,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,1,4,C,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,1,5,C,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,1,6,C,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
Vid-20260421-Wa0023,1,10,N,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0023,2,3,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,2,4,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,2,5,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,2,6,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,2,10,N,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0023,3,4,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,3,5,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,3,6,N,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0023,3,10,N,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0023,4,6,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0023,6,10,N,2,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
Vid-20260421-Wa0043,1,2,N,10,1.0000,1.0000,1.0000,0.5000,0.5000,0.9954
Vid-20260421-Wa0043,1,3,N,10,1.0000,1.0000,1.0000,0.5000,0.5000,0.9954
Vid-20260421-Wa0043,2,3,N,10,1.0000,1.0000,1.0000,0.5000,0.5000,0.9954
Vid-20260421-Wa0049,1,2,C,11,1.0000,1.0000,1.0000,0.5000,0.5000,0.9961
Vid-20260421-Wa0064,1,2,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,1,3,C,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,1,4,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,1,5,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
Vid-20260421-Wa0064,2,3,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,2,4,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,2,5,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0064,3,4,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
Vid-20260421-Wa0064,3,5,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
Vid-20260421-Wa0064,4,5,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
VID_ (1),1,2,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),1,3,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),1,4,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),1,5,C,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),1,9,N,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (1),1,7,C,2,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),1,15,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),1,10,C,7,1.0000,1.0000,1.0000,0.5000,0.5000,0.9939
VID_ (1),1,17,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),2,3,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),2,4,C,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),2,5,C,13,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (1),2,7,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),2,9,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),2,10,C,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (1),2,15,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
VID_ (1),2,17,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
VID_ (1),3,4,C,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
VID_ (1),3,5,C,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
VID_ (1),3,7,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),3,9,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),3,10,C,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (1),3,17,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
VID_ (1),4,5,C,11,1.0000,1.0000,1.0000,0.5000,0.5000,0.9961
VID_ (1),4,7,C,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (1),4,9,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),4,10,C,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (1),4,17,C,5,1.0000,1.0000,1.0000,0.5000,0.5000,0.9842
VID_ (1),5,7,C,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),5,9,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),5,10,C,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (1),5,13,C,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),5,15,C,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (1),5,17,C,6,1.0000,1.0000,1.0000,0.5000,0.5000,0.9916
VID_ (1),7,9,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (1),10,17,N,2,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),2,13,C,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),3,13,C,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),3,15,C,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (1),15,17,C,2,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (12),1,2,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (12),1,3,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (12),1,4,N,6,1.0000,1.0000,1.0000,0.5000,0.5000,0.9916
VID_ (12),1,7,N,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (12),1,8,N,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (12),2,3,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (12),2,4,N,6,1.0000,1.0000,1.0000,0.5000,0.5000,0.9916
VID_ (12),2,7,N,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (12),2,8,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (12),3,4,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (12),3,8,N,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000
VID_ (12),4,7,N,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (15),1,2,N,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
VID_ (15),1,3,N,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (15),1,4,N,11,1.0000,1.0000,1.0000,0.5000,0.5000,0.9961
VID_ (15),1,5,N,6,1.0000,1.0000,1.0000,0.5000,0.5000,0.9916
VID_ (16),1,2,C,11,1.0000,1.0000,1.0000,0.5000,0.5000,0.9961
VID_ (21),1,2,C,11,1.0000,1.0000,1.0000,0.5000,0.5000,0.9961
VID_ (21),1,3,C,7,1.0000,1.0000,1.0000,0.5000,0.5000,0.9939
VID_ (21),1,4,C,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
VID_ (21),1,5,C,8,1.0000,1.0000,1.0000,0.5000,0.5000,0.9936
VID_ (21),1,6,C,7,1.0000,1.0000,1.0000,0.5000,0.5000,0.9939
VID_ (21),2,3,C,6,1.0000,1.0000,1.0000,0.5000,0.5000,0.9916
VID_ (21),2,4,C,12,1.0000,1.0000,1.0000,0.5000,0.5000,0.9962
VID_ (21),2,5,C,8,1.0000,1.0000,1.0000,0.5000,0.5000,0.9936
VID_ (21),2,6,C,7,1.0000,1.0000,1.0000,0.5000,0.5000,0.9939
VID_ (21),3,4,C,10,1.0000,1.0000,1.0000,0.5000,0.5000,0.9954
VID_ (21),4,5,C,8,1.0000,1.0000,1.0000,0.5000,0.5000,0.9936
VID_ (21),3,5,C,1,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000
VID_ (24),1,2,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (24),1,4,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
VID_ (24),2,4,N,7,1.0000,1.0000,1.0000,0.5000,0.5000,0.9939
VID_ (25),1,2,N,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (25),1,3,N,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (25),1,4,N,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (25),1,5,N,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (25),1,6,N,14,1.0000,1.0000,1.0000,0.5000,0.5000,0.9967
VID_ (25),1,8,N,10,1.0000,1.0000,1.0000,0.5000,0.5000,0.9954
VID_ (25),1,9,N,3,1.0000,1.0000,1.0000,0.5000,0.5000,0.9851
VID_ (25),1,10,N,9,1.0000,1.0000,1.0000,0.5000,0.5000,0.9937
